Source,Target,Weight
1,21,1.0001455723719617
1,22,1.0002621092206478
1,23,1.0002846840361646
1,24,1.000237464273406
1,26,1.000196490967328
1,27,1.0003322611347047
1,28,1.0002269418393595
1,29,1.0000598784987895
1,30,1.000094506818459
1,31,1.0004709944456542
1,34,1.0004862019191116
1,35,1.0002192603283386
1,36,1.0003386934334793
1,37,1.0003322368322405
1,40,1.000121056294538
1,41,1.0001888512500845
1,42,1.000061787718177
1,43,1.0005603783776311
1,44,1.0006056841438655
1,45,1.0000761042608897
1,46,1.0001128054809156
1,47,1.0010953344954117
1,48,1.0000709373550358
1,49,1.0001148918423275
1,50,1.0003512243640338
1,52,1.000121788212114
1,53,1.000289400664233
1,54,1.000183815313381
1,56,1.0001800971688293
1,57,1.0001837436611545
1,59,1.0000953910149877
1,60,1.0003595559672558
1,61,1.000166739862832
1,62,1.000072553519383
1,63,1.0000572647804096
1,64,1.0000394954355087
1,65,1.000057683001194
1,66,1.0000134869998991
1,67,1.0000865801955467
1,68,1.0000707130099784
1,69,1.0000655550160733
1,70,1.0001885258715477
1,71,1.000059175877664
1,72,1.000091897396897
1,73,1.0005925263567408
1,74,1.0001385600464594
1,75,1.0001372075229649
1,76,1.0001102785915834
1,77,1.0000117427607131
1,78,1.0002941645532002
1,79,1.0000871252653218
1,80,1.0000357674838338
1,81,1.0004970123503047
1,82,1.0003889717009822
1,83,1.0002226581954927
1,84,1.0002749549166268
1,85,1.0000531915312867
1,86,1.0002689442763948
1,87,1.0003133073418984
1,88,1.0001131373020218
1,89,1.0002151593815283
1,90,1.0002840239503858
1,91,1.0003486151083067
1,92,1.0001068523802483
1,93,1.0003405520698172
1,94,1.0003035305628256
1,95,1.0003724707947392
1,96,1.0000621065930524
1,97,1.0000222205747493
1,98,1.0000520419800873
2,0,1.0000962661167976
2,1,1.0000402891659972
2,4,1.0001384075414728
2,5,1.000041376183978
2,6,1.0000209332212309
2,8,1.0000765769737252
2,9,1.0000623501004526
2,11,1.0000262024282107
2,12,1.000082665450975
2,13,1.0000326978045995
2,14,1.00023265875978
2,15,1.0001259637118025
2,16,1.0002750117326988
2,17,1.0001265787250921
2,18,1.0003616396872281
2,19,1.0009468304509732
2,20,1.0002209678716774
2,21,1.0003146855105345
2,22,1.0003800337154278
2,23,1.000376655626093
2,24,1.0004507111071437
2,26,1.000369193808988
2,27,1.000578876248403
2,28,1.0004259636987158
2,29,1.0001511689419944
2,30,1.000222907846465
2,31,1.0007015882913943
2,34,1.0007052490091644
2,35,1.0004052484272292
2,36,1.0005464850679282
2,37,1.0005661532676997
2,40,1.0002814360237255
2,41,1.0003770986402796
2,42,1.0001765997379983
2,43,1.0008659175932841
2,44,1.000934309783697
2,45,1.0002168301295453
2,46,1.0002717761369453
2,47,1.0014758350699573
2,48,1.0001914611819025
2,49,1.000265330460149
2,50,1.0006067728589059
2,52,1.0002275827436993
2,53,1.0004943901704737
2,54,1.0003214891446306
2,56,1.0003512922111495
2,57,1.0003849971066634
2,59,1.000239043461727
2,60,1.000611285362929
2,61,1.000307191263664
2,62,1.0001308933139272
2,63,1.0000357326775733
2,64,1.0000539763965175
2,65,1.0000472404226997
2,66,1.0000120333611082
2,67,1.000217013997027
2,68,1.000131349103718
2,69,1.0001260394191784
2,70,1.0003751965016252
2,71,1.0001580264607397
2,72,1.000215269419017
2,73,1.0008832966977297
2,74,1.0002246475707197
2,75,1.0003087322504898
2,76,1.00022833959219
2,77,1.0000453234688682
2,78,1.000485835168699
2,79,1.0002117044865306
2,80,1.0001104695913035
2,81,1.0007256656944452
2,82,1.0005488708103683
2,83,1.000372687495025
2,84,1.0004461867532493
2,85,1.0001601173588233
2,86,1.0004728509583856
2,87,1.0004989157573354
2,88,1.0002298864822052
2,89,1.0003437083741178
2,90,1.0004837247447187
2,91,1.0005333003815502
2,92,1.00023530928853
2,93,1.0005888755696315
2,94,1.000523390222903
2,95,1.000578378789556
2,96,1.0000818551562192
2,97,1.000047714193045
2,98,1.0000468147744066
3,7,1.0233709970971343
3,25,1.025776143742452
3,33,1.0281388370801543
3,38,1.0122713150818368
3,51,1.030358356868825
3,58,1.0214872028163078
4,0,1.0000423363331814
4,1,1.0000511155103677
4,2,1.0001384075414728
4,5,1.0000473882287055
4,6,1.0000898176017217
4,8,1.000049753371959
4,9,1.0000232763400676
4,11,1.000067594247182
4,12,1.0000275365829752
4,13,1.0000749877253152
4,14,1.0000317818855273
4,15,1.0000266520246324
4,16,1.0000721950951799
4,17,1.0000491937566474
4,18,1.000084989673743
4,19,1.000483904150608
4,20,1.0000738959582711
4,21,1.0000865872854847
4,22,1.000125711036229
4,23,1.0001211038318027
4,24,1.000131246857969
4,26,1.0000857850006315
4,27,1.0001941392023568
4,28,1.0001182443767778
4,29,1.000026121827513
4,30,1.000074839210604
4,31,1.0002734281882673
4,34,1.0002924333501897
4,35,1.0001253295970776
4,36,1.000231829851085
4,37,1.000291946171388
4,40,1.0000537692011748
4,41,1.00010779251864
4,42,1.000010783518676
4,43,1.0003407133844355
4,44,1.000412375210801
4,45,1.0000549167239259
4,46,1.0000788265122849
4,47,1.0008495402881605
4,48,1.0000481448205292
4,49,1.0000430326469258
4,50,1.0002502935241984
4,52,1.0000413545832776
4,53,1.000214407545625
4,54,1.000085484045877
4,56,1.0001719663113589
4,57,1.000123098742699
4,59,1.000102587385604
4,60,1.0002532587605044
4,61,1.0000646886008764
4,62,1.000031501969533
4,63,1.0001426932222153
4,64,1.000050640310961
4,65,1.0001409967346317
4,66,1.000100012022075
4,67,1.0000443380861523
4,68,1.0000558737575913
4,69,1.0000629534493
4,70,1.0001155484259872
4,71,1.0000568099375564
4,72,1.0000659534397338
4,73,1.0004340571970374
4,74,1.0000697684898938
4,75,1.0000995043758283
4,76,1.000082179743724
4,77,1.000060291778757
4,78,1.0002980538243065
4,79,1.0000431056745414
4,80,1.000067723447398
4,81,1.0002751501208809
4,82,1.000180506416535
4,83,1.0000965174285985
4,84,1.0001496142013548
4,85,1.0000495777750316
4,86,1.000164660313315
4,87,1.0002369203729664
4,88,1.0001612487537146
4,89,1.000181802851245
4,90,1.0001516278446294
4,91,1.00021509780854
4,92,1.0000659358464705
4,93,1.0002816735671216
4,94,1.0002440493176772
4,95,1.0002199038749204
4,96,1.0001018833906097
4,97,1.000071077404768
4,98,1.0001098850096157
5,0,1.0000278826279427
5,1,1.0000029812368045
5,2,1.000041376183978
5,4,1.0000473882287055
5,6,1.000022328613276
5,8,1.000022245302978
5,9,1.0000154857145112
5,11,1.0000183941365821
5,12,1.0000112112100896
5,13,1.0000120094008376
5,14,1.000085565057786
5,15,1.0000646556122985
5,16,1.0001094810698146
5,17,1.0000830159521494
5,18,1.0001638959409387
5,19,1.0006077536950895
5,20,1.0000755269026411
5,21,1.000132666125701
5,22,1.0002293380535248
5,23,1.0002596937374066
5,24,1.0002263925240378
5,26,1.0001744878153673
5,27,1.0003200965741081
5,28,1.0002108060411845
5,29,1.000046955729103
5,30,1.000099802893256
5,31,1.0004423347336122
